x_1,y_1,x_2,y_2
-734.179237723707,-8032.254539131761,-331.38625749642233,-5338.710757884437
-1311.6318633142055,-6316.73800973267,-1062.0469170143351,-6749.36641306379
-5.58411647568937,-7136.289916975392,-229.0047305656326,-4001.835464136516
-365.0355662197617,-6789.11595355563,-1674.5328524506294,-6350.1016690337465
-112.927860012971,-6729.971409091033,-170.78946521975058,-3221.861322133765
-1937.9531199713656,-6174.505864403634,-531.9638860791238,-5973.516094389626
-1107.9931835407297,-3613.8686328655203,-1172.3154374868768,-4779.049552747498
-76.44557709161381,-4721.2235742145385,-26.35284650829817,-4387.340901965823
-3015.6931004569337,-4443.235122199317,-2410.329697085857,-3283.280898617268
-2102.2601349398865,-3176.6243865444885,-1511.469886103114,-1902.4926383109485
-954.9975115104905,-2395.8173078254467,-415.41987490830803,-1419.4733440858327
-1385.8115039428983,-2482.554096643039,-15.513922150099399,-791.4253783870099
-12.076173782870173,-789.6150894159823,-159.67602627112365,-2109.454955174189
-1517.6316168195635,-8581.986425172623,-834.2251485768811,-7218.513254743431
-752.9600982804586,-7601.190719590635,-285.75019558456097,-4953.541491427158
-1346.541945842654,-5956.660935016721,-959.0451984850215,-6236.7553386243535
-334.8585732941265,-6310.782662057436,-1639.268549134521,-5924.8726862170415
-89.68715739583968,-6155.655837294101,-200.93262359317305,-2958.242913516202
-1805.158314121033,-5735.219371425842,-565.0984338421295,-5539.782669673495
-1059.7983896719875,-2980.7786366952,-1034.9029292640084,-4293.649805110991
-2949.799016108467,-4167.962214360283,-2205.1476317676643,-2880.5025147167107
-2124.327414412516,-3246.613015274984,-1464.8281033775895,-1600.5051485755355
-794.6015391242261,-2161.837914000774,-306.8147363195648,-1074.1936254968414
-2.2496292465039005,-2237.0894110328845,-235.44266898867863,-2609.321979448822
-1470.411134527436,-8168.233885003814,-819.2046027050119,-6756.165819658269
-773.7193394177648,-7162.3571376330165,-273.6502085676757,-4630.817168141309
-1298.4247141210253,-5665.420866933662,-898.0235768900257,-5732.446271742788
-58.387794257562746,-3061.2349054799856,-41.46426535750288,-6674.744768608562
-279.58802321131407,-5880.787526105091,-1506.4961358272403,-5544.17280948526
-94.89848074357178,-5577.609491973713,-222.04720716040083,-2648.1427647634273
-1610.5493709943594,-5307.858954200953,-477.11581342420504,-5113.78170854845
-953.5282543545081,-2497.7211963290856,-839.1753790403127,-3856.9110467409373
-2776.297420169972,-3896.611271236278,-2057.782291437882,-2532.8588218433683
-2114.5907652806372,-3153.2405335474878,-1340.5876845209114,-1461.8597031744011
-709.4554151156354,-1952.182646407802,-209.95996680974386,-723.5788515496312
-2.0586622836781316,-2075.206018578749,-301.4058728492869,-2233.317027541338
-2.925709776022586,-686.6374921282743,-687.6271769225358,-1000.2427571594956
-1422.0235570869372,-7792.511843303688,-756.8758739423938,-6288.138408284169
-800.3475058618678,-6755.810270017038,-286.53580661795604,-4307.629385032435
-1184.8993448602905,-5370.7923055303345,-866.4784330439816,-5263.975668518518
-31.058841124873652,-7106.436863526005,-977.9168542115367,-5548.185196569714
-223.25133387182814,-5455.592751821531,-1282.9814839589799,-5166.52388713477
-1278.3669010431267,-5162.459026691248,-0.00022035139045328833,-4661.0806202362255
-120.9229918478668,-5041.478634739046,-234.23379836668346,-2264.7893339575353
-1379.6107940914926,-4893.576217627257,-290.0701841261762,-4661.408239946089
-812.0636922814094,-2161.722867777184,-624.3257342649504,-3437.3428448366117
-10.66552119915923,-3192.8536171370224,-4.191724787605381,-2769.166410912621
-2515.9439495887136,-3593.8729449425364,-1997.8911829368897,-2226.209647141235
-2024.854148730911,-2946.673195019089,-1136.5432666754898,-1496.50067863701
-615.9929258364581,-1761.1212709408856,-131.7692962537234,-392.4032043566282
-0.12054340316444723,-1915.0445457272374,-363.44208799305625,-1899.4797564893659
-1.2545568119560926,-657.1994074214423,-85.08897598041051,-593.694349214902
-4.69096203420122,-8928.031907838847,-800.0533543388865,-6999.758657379863
-1379.7208699300882,-7406.939164249599,-672.7210769887733,-5802.128410315913
-828.7618341019952,-6318.1704779097245,-299.2568233440361,-3970.269086079792
-1071.8883164218196,-4987.77281639068,-810.0008382368683,-4833.658646626413
-31.66684372859436,-6357.698550863691,-1110.6687886195355,-5183.794102005465
-155.75062726792385,-5080.071256887349,-1017.6560395997503,-4738.092129345561
